Назва,Усього одиниць
до загальної кількості
підприємств","у відсотках
до загальної кількості
фізичних осіб-підприємців"
Одеська область1,137609
м.Одеса,76396
м.Балта,1151
м.Білгород-Дністровський,4340
м.Біляївка,637
м.Ізмаїл,4340
м.Чорноморськ,4454
м.Подільськ,1747
м.Теплодар,600
м.Южне,1456
Ананьївський,885
Арцизький,1973
Балтський,615
Білгород-Дністровський,1902
Біляївський,4406
Березівський,1279
Болградський,2829
Великомихайлівський,878
Іванівський,1052
Ізмаїльський,1693
Кілійський,1997
Кодимський,960
Лиманський,3759
Подільський,511
Окнянський,647
Любашівський,931
Миколаївський,580
Овідіопольський,5921
Роздільнянський,1972
Ренійський,1158
Савранський,653
Саратський,1496
Тарутинський,1331
Татарбунарський,1643
Захарівський,478
Ширяївський,939
